Spcode,Category,English.Name,Scientific.Name
ostric2,species,Common Ostrich,Struthio camelus
ostric3,species,Somali Ostrich,Struthio molybdophanes
y00934,slash,Common/Somali Ostrich,Struthio camelus/molybdophanes
grerhe1,species,Greater Rhea,Rhea americana
lesrhe2,species,Lesser Rhea,Rhea pennata
lesrhe4,group (polytypic),Lesser Rhea (Puna),Rhea pennata tarapacensis/garleppi
lesrhe3,group (monotypic),Lesser Rhea (Darwin's),Rhea pennata pennata
tabtin1,species,Tawny-breasted Tinamou,Nothocercus julius
higtin1,species,Highland Tinamou,Nothocercus bonapartei
higtin2,group (polytypic),Highland Tinamou (South American),Nothocercus bonapartei [bonapartei Group]
higtin3,group (monotypic),Highland Tinamou (Costa Rican),Nothocercus bonapartei frantzii
hootin1,species,Hooded Tinamou,Nothocercus nigrocapillus
grytin1,species,Gray Tinamou,Tinamus tao
soltin1,species,Solitary Tinamou,Tinamus solitarius
blatin1,species,Black Tinamou,Tinamus osgoodi
gretin1,species,Great Tinamou,Tinamus major
whttin1,species,White-throated Tinamou,Tinamus guttatus
tinamu1,spuh,Tinamus sp.,Tinamus sp.
cintin1,species,Cinereous Tinamou,Crypturellus cinereus
bertin1,species,Berlepsch's Tinamou,Crypturellus berlepschi
littin1,species,Little Tinamou,Crypturellus soui
teptin1,species,Tepui Tinamou,Crypturellus ptaritepui
brotin1,species,Brown Tinamou,Crypturellus obsoletus
brntin1,group (monotypic),Brown Tinamou (castaneus),Crypturellus obsoletus castaneus
brntin2,group (polytypic),Brown Tinamou (Brown),Crypturellus obsoletus [obsoletus Group]
undtin1,species,Undulated Tinamou,Crypturellus undulatus
pabtin1,species,Pale-browed Tinamou,Crypturellus transfasciatus
bratin1,species,Brazilian Tinamou,Crypturellus strigulosus
gyltin1,species,Gray-legged Tinamou,Crypturellus duidae
reltin1,species,Red-legged Tinamou,Crypturellus erythropus
yeltin1,species,Yellow-legged Tinamou,Crypturellus noctivagus
yeltin2,group (monotypic),Yellow-legged Tinamou (zabele),Crypturellus noctivagus zabele
yeltin3,group (monotypic),Yellow-legged Tinamou (noctivagus),Crypturellus noctivagus noctivagus
blctin1,species,Black-capped Tinamou,Crypturellus atrocapillus
slbtin1,species,Slaty-breasted Tinamou,Crypturellus boucardi
chotin1,species,Choco Tinamou,Crypturellus kerriae
vartin1,species,Variegated Tinamou,Crypturellus variegatus
thitin1,species,Thicket Tinamou,Crypturellus cinnamomeus
thitin2,group (monotypic),Thicket Tinamou (occidentalis),Crypturellus cinnamomeus occidentalis
thitin3,group (polytypic),Thicket Tinamou (cinnamomeus Group),Crypturellus cinnamomeus [cinnamomeus Group]
rustin1,species,Rusty Tinamou,Crypturellus brevirostris
bartin2,species,Bartlett's Tinamou,Crypturellus bartletti
smbtin1,species,Small-billed Tinamou,Crypturellus parvirostris
bartin1,species,Barred Tinamou,Crypturellus casiquiare
tattin1,species,Tataupa Tinamou,Crypturellus tataupa
cryptu1,spuh,Crypturellus sp.,Crypturellus sp.
rewtin1,species,Red-winged Tinamou,Rhynchotus rufescens
huatin1,species,Huayco Tinamou,Rhynchotus maculicollis
tactin1,species,Taczanowski's Tinamou,Nothoprocta taczanowskii
orntin1,species,Ornate Tinamou,Nothoprocta ornata
chitin1,species,Chilean Tinamou,Nothoprocta perdicaria
brutin1,species,Brushland Tinamou,Nothoprocta cinerascens
andtin1,species,Andean Tinamou,Nothoprocta pentlandii
cubtin1,species,Curve-billed Tinamou,Nothoprocta curvirostris
nothop1,spuh,Nothoprocta sp.,Nothoprocta sp.
whbnot1,species,White-bellied Nothura,Nothura boraquira
lesnot1,species,Lesser Nothura,Nothura minor
darnot1,species,Darwin's Nothura,Nothura darwinii
sponot1,species,Spotted Nothura,Nothura maculosa
dwatin1,species,Dwarf Tinamou,Taoniscus nanus
elctin1,species,Elegant Crested-Tinamou,Eudromia elegans
quctin1,species,Quebracho Crested-Tinamou,Eudromia formosa
puntin1,species,Puna Tinamou,Tinamotis pentlandii
pattin1,species,Patagonian Tinamou,Tinamotis ingoufi
tinamo1,spuh,tinamou sp.,Tinamidae sp.
soucas1,species,Southern Cassowary,Casuarius casuarius
dwacas1,species,Dwarf Cassowary,Casuarius bennetti
norcas1,species,Northern Cassowary,Casuarius unappendiculatus
emu1,species,Emu,Dromaius novaehollandiae
sobkiw1,species,Southern Brown Kiwi,Apteryx australis
sobkiw2,group (monotypic),Southern Brown Kiwi (South I.),Apteryx australis australis
sobkiw3,group (monotypic),Southern Brown Kiwi (Stewart I.),Apteryx australis lawryi
okbkiw1,species,Okarito Brown Kiwi,Apteryx rowi
nibkiw1,species,North Island Brown Kiwi,Apteryx mantelli
liskiw1,species,Little Spotted Kiwi,Apteryx owenii
grskiw1,species,Great Spotted Kiwi,Apteryx haastii
horscr1,species,Horned Screamer,Anhima cornuta
souscr1,species,Southern Screamer,Chauna torquata
norscr1,species,Northern Screamer,Chauna chavaria
maggoo1,species,Magpie Goose,Anseranas semipalmata
spwduc1,species,Spotted Whistling-Duck,Dendrocygna guttata
plwduc1,species,Plumed Whistling-Duck,Dendrocygna eytoni
wfwduc1,species,White-faced Whistling-Duck,Dendrocygna viduata
x00721,hybrid,Spotted x White-faced Whistling-Duck (hybrid),Dendrocygna guttata x viduata
bbwduc,species,Black-bellied Whistling-Duck,Dendrocygna autumnalis
bkbwhd1,group (monotypic),Black-bellied Whistling-Duck (fulgens),Dendrocygna autumnalis fulgens
bkbwhd2,group (monotypic),Black-bellied Whistling-Duck (autumnalis),Dendrocygna autumnalis autumnalis
wiwduc1,species,West Indian Whistling-Duck,Dendrocygna arborea
x00775,hybrid,Black-bellied x West Indian Whistling-Duck (hybrid),Dendrocygna autumnalis x arborea
fuwduc,species,Fulvous Whistling-Duck,Dendrocygna bicolor
x00938,hybrid,White-faced x Fulvous Whistling-Duck (hybrid),Dendrocygna viduata x bicolor
x00875,hybrid,Black-bellied x Fulvous Whistling-Duck (hybrid),Dendrocygna autumnalis x bicolor
wawduc1,species,Wandering Whistling-Duck,Dendrocygna arcuata
lewduc1,species,Lesser Whistling-Duck,Dendrocygna javanica
y01080,slash,Fulvous/Lesser Whistling-Duck,Dendrocygna bicolor/javanica
whistl1,spuh,whistling-duck sp.,Dendrocygna sp.
whbduc1,species,White-backed Duck,Thalassornis leuconotus
bahgoo,species,Bar-headed Goose,Anser indicus
empgoo,species,Emperor Goose,Anser canagicus
snogoo,species,Snow Goose,Anser caerulescens
rosgoo,species,Ross's Goose,Anser rossii
sxrgoo1,hybrid,Snow x Ross's Goose (hybrid),Anser caerulescens x rossii
y00469,slash,Snow/Ross's Goose,Anser caerulescens/rossii
gragoo,species,Graylag Goose,Anser anser
gragoo2,group (monotypic),Graylag Goose (European),Anser anser anser
gragoo3,group (monotypic),Graylag Goose (Siberian),Anser anser rubrirostris
gragoo1,domestic,Graylag Goose (Domestic type),Anser anser (Domestic type)
swagoo1,species,Swan Goose,Anser cygnoides
swagoo2,domestic,Swan Goose (Domestic type),Anser cygnoides (Domestic type)
x00776,hybrid,Graylag x Swan Goose (Domestic type) (hybrid),Anser anser x cygnoides (Domestic type)
gwfgoo,species,Greater White-fronted Goose,Anser albifrons
gwfgoo1,group (monotypic),Greater White-fronted Goose (Greenland),Anser albifrons flavirostris
gwfgoo4,group (monotypic),Greater White-fronted Goose (Eurasian),Anser albifrons albifrons
gwfgoo2,group (polytypic),Greater White-fronted Goose (Western),Anser albifrons gambelli/sponsa
gwfgoo3,group (monotypic),Greater White-fronted Goose (Tule),Anser albifrons elgasi
x00755,hybrid,Bar-headed x Greater White-fronted Goose (hybrid),Anser indicus x albifrons
x00627,hybrid,Snow x Greater White-fronted Goose (hybrid),Anser caerulescens x albifrons
lwfgoo,species,Lesser White-fronted Goose,Anser erythropus
y00707,slash,Greater/Lesser White-fronted Goose,Anser albifrons/erythropus
taibeg1,species,Taiga Bean-Goose,Anser fabalis
tunbeg1,species,Tundra Bean-Goose,Anser serrirostris
y00468,slash,Taiga/Tundra Bean-Goose,Anser fabalis/serrirostris
pifgoo,species,Pink-footed Goose,Anser brachyrhynchus
domgoo1,domestic,Domestic goose sp. (Domestic type),Anser sp. (Domestic type)
anser1,spuh,Anser sp.,Anser sp.
brant,species,Brant,Branta bernicla
dabbra1,group (monotypic),Brant (Dark-bellied),Branta bernicla bernicla
atlbra1,group (monotypic),Brant (Atlantic),Branta bernicla hrota
blkbra1,group (monotypic),Brant (Black),Branta bernicla nigricans
gybbra1,form,Brant (Gray-bellied),Branta bernicla (Gray-bellied)
brant1,intergrade,Brant (Atlantic x Black),Branta bernicla hrota x nigricans
x00685,hybrid,Snow Goose x Brant (hybrid),Anser caerulescens x Branta bernicla
bargoo,species,Barnacle Goose,Branta leucopsis
x00756,hybrid,Pink-footed x Barnacle Goose (hybrid),Anser brachyrhynchus x Branta leucopsis
x00757,hybrid,Greater White-fronted x Barnacle Goose (hybrid),Anser albifrons x Branta leucopsis
x00649,hybrid,Graylag x Barnacle Goose (hybrid),Anser anser x Branta leucopsis
cacgoo1,species,Cackling Goose,Branta hutchinsii
alcgoo1,group (monotypic),Cackling Goose (Aleutian),Branta hutchinsii leucopareia
ricgoo1,group (monotypic),Cackling Goose (Richardson's),Branta hutchinsii hutchinsii
cacgoo2,group (monotypic),Cackling Goose (minima),Branta hutchinsii minima
tacgoo1,group (monotypic),Cackling Goose (Taverner's),Branta hutchinsii taverneri
x00831,hybrid,Emperor x Cackling Goose (hybrid),Anser canagicus x Branta hutchinsii
x00692,hybrid,Snow x Cackling Goose (hybrid),Anser caerulescens x Branta hutchinsii
x00694,hybrid,Ross's x Cackling Goose (hybrid),Anser rossii x Branta hutchinsii
x00722,hybrid,Brant x Cackling Goose (hybrid),Branta bernicla x hutchinsii
x00414,hybrid,Greater White-fronted x Cackling Goose (hybrid),Anser albifrons x Branta hutchinsii
x00416,hybrid,Barnacle x Cackling Goose (hybrid),Branta leucopsis x hutchinsii
cangoo,species,Canada Goose,Branta canadensis
cangoo4,group (polytypic),Canada Goose (moffitti/maxima),Branta canadensis moffitti/maxima
cangoo3,group (polytypic),Canada Goose (occidentalis/fulva),Branta canadensis occidentalis/fulva
cangoo1,group (polytypic),Canada Goose (canadensis Group),Branta canadensis [canadensis Group]
x00908,hybrid,Bar-headed x Canada Goose (hybrid),Anser indicus x Branta canadensis
swagoo3,hybrid,Swan Goose (Domestic type) x Canada Goose (hybrid),Anser cygnoides (Domestic type) x Branta canadensis
x00650,hybrid,Pink-footed x Canada Goose (hybrid),Anser brachyrhynchus x Branta canadensis
x00415,hybrid,Greater White-fronted x Canada Goose (hybrid),Anser albifrons x Branta canadensis
x00758,hybrid,Graylag x Canada Goose (hybrid),Anser anser x Branta canadensis
gragoo4,hybrid,Graylag Goose (Domestic type) x Canada Goose (hybrid),Anser anser (Domestic type) x Branta canadensis
x00759,hybrid,Domestic goose sp. (Domestic type) x Canada Goose (hybrid),Anser sp. (Domestic type) x Branta canadensis
x00197,hybrid,Snow x Canada Goose (hybrid),Anser caerulescens x Branta canadensis
x00693,hybrid,Ross's x Canada Goose (hybrid),Anser rossii x Branta canadensis
x00417,hybrid,Barnacle x Canada Goose (hybrid),Branta leucopsis x canadensis
y00470,slash,Cackling/Canada Goose,Branta hutchinsii/canadensis
y00765,hybrid,Snow/Ross's x Cackling/Canada Goose (hybrid),Anser caerulescens/rossii x Branta hutchinsii/canadensis
hawgoo,species,Hawaiian Goose,Branta sandvicensis
rebgoo1,species,Red-breasted Goose,Branta ruficollis
x00939,hybrid,Greater White-fronted x Red-breasted Goose (hybrid),Anser albifrons x Branta ruficollis
branta1,spuh,Branta sp.,Branta sp.
goose1,spuh,goose sp.,Anser/Branta sp.
cabgoo1,species,Cape Barren Goose,Cereopsis novaehollandiae
freduc1,species,Freckled Duck,Stictonetta naevosa
buwgoo1,species,Blue-winged Goose,Cyanochen cyanoptera
mutswa,species,Mute Swan,Cygnus olor
blkswa,species,Black Swan,Cygnus atratus
blnswa2,species,Black-necked Swan,Cygnus melancoryphus
truswa,species,Trumpeter Swan,Cygnus buccinator
x00832,hybrid,Mute x Trumpeter Swan (hybrid),Cygnus olor x buccinator
tunswa,species,Tundra Swan,Cygnus columbianus
tunswa1,group (monotypic),Tundra Swan (Whistling),Cygnus columbianus columbianus
bewswa1,group (monotypic),Tundra Swan (Bewick's),Cygnus columbianus bewickii
tunswa2,intergrade,Tundra Swan (Whistling x Bewick's),Cygnus columbianus columbianus x bewickii
x00418,hybrid,Trumpeter x Tundra Swan (hybrid),Cygnus buccinator x columbianus
y00471,slash,Trumpeter/Tundra Swan,Cygnus buccinator/columbianus
whoswa,species,Whooper Swan,Cygnus cygnus
x00419,hybrid,Trumpeter x Whooper Swan (hybrid),Cygnus buccinator x cygnus
y00708,slash,Tundra/Whooper Swan,Cygnus columbianus/cygnus
swan1,spuh,swan sp.,Cygnus sp.
cosswa1,species,Coscoroba Swan,Coscoroba coscoroba
comduc2,species,Knob-billed Duck,Sarkidiornis melanotos
comduc3,species,Comb Duck,Sarkidiornis sylvicola
harduc1,species,Hartlaub's Duck,Pteronetta hartlaubii
origoo1,species,Orinoco Goose,Oressochen jubatus
andgoo1,species,Andean Goose,Oressochen melanopterus
uplgoo1,species,Upland Goose,Chloephaga picta
uplgoo2,form,Upland Goose (White-breasted),Chloephaga picta (White-breasted)
uplgoo3,form,Upland Goose (Bar-breasted),Chloephaga picta (Bar-breasted)
kelgoo1,species,Kelp Goose,Chloephaga hybrida
ashgoo1,species,Ashy-headed Goose,Chloephaga poliocephala
ruhgoo1,species,Ruddy-headed Goose,Chloephaga rubidiceps
chloep1,spuh,Chloephaga sp.,Chloephaga sp.
radshe1,species,Radjah Shelduck,Radjah radjah
egygoo,species,Egyptian Goose,Alopochen aegyptiaca
maushe1,species,Mauritius Shelduck,Alopochen mauritiana
reushe1,species,Reunion Shelduck,Alopochen kervazoi
rudshe,species,Ruddy Shelduck,Tadorna ferruginea
soashe1,species,South African Shelduck,Tadorna cana
ausshe1,species,Australian Shelduck,Tadorna tadornoides
parshe1,species,Paradise Shelduck,Tadorna variegata
comshe,species,Common Shelduck,Tadorna tadorna
x00876,hybrid,Ruddy x Common Shelduck (hybrid),Tadorna ferruginea x tadorna
creshe1,species,Crested Shelduck,Tadorna cristata
spwgoo1,species,Spur-winged Goose,Plectropterus gambensis
spwgoo2,group (monotypic),Spur-winged Goose (Northern),Plectropterus gambensis gambensis
spwgoo3,group (monotypic),Spur-winged Goose (Southern),Plectropterus gambensis niger
flystd1,species,Flying Steamer-Duck,Tachyeres patachonicus
flistd1,species,Flightless Steamer-Duck,Tachyeres pteneres
flistd2,form,Flightless Steamer-Duck (Chiloe form),Tachyeres pteneres [undescribed form]
falstd1,species,Falkland Steamer-Duck,Tachyeres brachypterus
whhstd1,species,White-headed Steamer-Duck,Tachyeres leucocephalus
steame1,spuh,steamer-duck sp.,Tachyeres sp.
creduc1,species,Crested Duck,Lophonetta specularioides
speduc2,species,Spectacled Duck,Speculanas specularis
musduc,species,Muscovy Duck,Cairina moschata
musduc3,domestic,Muscovy Duck (Established Feral),Cairina moschata (Established Feral)
musduc2,domestic,Muscovy Duck (Domestic type),Cairina moschata (Domestic type)
grnpyg1,species,Green Pygmy-Goose,Nettapus pulchellus
copgoo1,species,Cotton Pygmy-Goose,Nettapus coromandelianus
afrpyg1,species,African Pygmy-Goose,Nettapus auritus
rintea1,species,Ringed Teal,Callonetta leucophrys
wooduc,species,Wood Duck,Aix sponsa
x00940,hybrid,Common Shelduck x Wood Duck (hybrid),Tadorna tadorna x Aix sponsa
manduc,species,Mandarin Duck,Aix galericulata
x00833,hybrid,Wood x Mandarin Duck (hybrid),Aix sponsa x galericulata
manduc1,species,Maned Duck,Chenonetta jubata
finduc1,species,Finsch's Duck,Chenonetta finschi
bratea1,species,Brazilian Teal,Amazonetta brasiliensis
bluduc1,species,Blue Duck,Hymenolaimus malacorhynchos
torduc1,species,Torrent Duck,Merganetta armata
saltea1,species,Salvadori's Teal,Salvadorina waigiuensis
baitea,species,Baikal Teal,Sibirionetta formosa
gargan,species,Garganey,Spatula querquedula
hottea1,species,Hottentot Teal,Spatula hottentota
siltea1,species,Silver Teal,Spatula versicolor
puntea1,species,Puna Teal,Spatula puna
buwtea,species,Blue-winged Teal,Spatula discors
cintea,species,Cinnamon Teal,Spatula cyanoptera
bwxtea1,hybrid,Blue-winged x Cinnamon Teal (hybrid),Spatula discors x cyanoptera
y00314,slash,Blue-winged/Cinnamon Teal,Spatula discors/cyanoptera
redsho1,species,Red Shoveler,Spatula platalea
capsho1,species,Cape Shoveler,Spatula smithii
aussho1,species,Australian Shoveler,Spatula rhynchotis
norsho,species,Northern Shoveler,Spatula clypeata
x00836,hybrid,Garganey x Northern Shoveler (hybrid),Spatula querquedula x clypeata
x00629,hybrid,Blue-winged Teal x Northern Shoveler (hybrid),Spatula discors x clypeata
x00630,hybrid,Cinnamon Teal x Northern Shoveler (hybrid),Spatula cyanoptera x clypeata
gadwal,species,Gadwall,Mareca strepera
gadwal1,group (monotypic),Gadwall (Common),Mareca strepera strepera
gadwal2,group (monotypic),Gadwall (Coues's),Mareca strepera couesi
x00457,hybrid,Northern Shoveler x Gadwall (hybrid),Spatula clypeata x Mareca strepera
falduc,species,Falcated Duck,Mareca falcata
eurwig,species,Eurasian Wigeon,Mareca penelope
x00723,hybrid,Gadwall x Eurasian Wigeon (hybrid),Mareca strepera x penelope
amewig,species,American Wigeon,Mareca americana
x00877,hybrid,Wood Duck x American Wigeon (hybrid),Aix sponsa x Mareca americana
x00777,hybrid,Northern Shoveler x American Wigeon (hybrid),Spatula clypeata x Mareca americana
x00724,hybrid,Gadwall x American Wigeon (hybrid),Mareca strepera x americana
x00421,hybrid,Eurasian x American Wigeon (hybrid),Mareca penelope x americana
y00670,slash,Eurasian/American Wigeon,Mareca penelope/americana
chiwig1,species,Chiloe Wigeon,Mareca sibilatrix
amsduc1,species,Amsterdam Duck,Mareca marecula
afbduc1,species,African Black Duck,Anas sparsa
yebduc1,species,Yellow-billed Duck,Anas undulata
melduc1,species,Meller's Duck,Anas melleri
pabduc1,species,Pacific Black Duck,Anas superciliosa
layduc,species,Laysan Duck,Anas laysanensis
hawduc,species,Hawaiian Duck,Anas wyvilliana
phiduc1,species,Philippine Duck,Anas luzonica
isbduc1,species,Indian Spot-billed Duck,Anas poecilorhyncha
spbduc,species,Eastern Spot-billed Duck,Anas zonorhyncha
y00830,slash,Indian/Eastern Spot-billed Duck,Anas poecilorhyncha/zonorhyncha
mallar3,species,Mallard,Anas platyrhynchos
mallar2,domestic,Mallard (Domestic type),Anas platyrhynchos (Domestic type)
mdxmal1,hybrid,Muscovy Duck x Mallard (hybrid),Cairina moschata x Anas platyrhynchos
x00205,hybrid,Wood Duck x Mallard (hybrid),Aix sponsa x Anas platyrhynchos
x00612,hybrid,Northern Shoveler x Mallard (hybrid),Spatula clypeata x Anas platyrhynchos
x00420,hybrid,Gadwall x Mallard (hybrid),Mareca strepera x Anas platyrhynchos
x00647,hybrid,Eurasian Wigeon x Mallard (hybrid),Mareca penelope x Anas platyrhynchos
x00611,hybrid,American Wigeon x Mallard (hybrid),Mareca americana x Anas platyrhynchos
x00760,hybrid,Yellow-billed Duck x Mallard (hybrid),Anas undulata x platyrhynchos
x00458,hybrid,Mallard x Pacific Black Duck (hybrid),Anas platyrhynchos x superciliosa
x00423,hybrid,Mallard x Hawaiian Duck (hybrid),Anas platyrhynchos x wyvilliana
x00834,hybrid,Mallard x Indian Spot-billed Duck (hybrid),Anas platyrhynchos x poecilorhyncha
x00835,hybrid,Mallard x Eastern Spot-billed Duck (hybrid),Anas platyrhynchos x zonorhyncha
y01128,slash,Mallard/Pacific Black Duck,Anas platyrhynchos/superciliosa
y01129,slash,Mallard/Hawaiian Duck,Anas platyrhynchos/wyvilliana
y01130,slash,Mallard/Indian Spot-billed Duck,Anas platyrhynchos/poecilorhyncha
y01131,slash,Mallard/Eastern Spot-billed Duck,Anas platyrhynchos/zonorhyncha
mexduc,species,Mexican Duck,Anas diazi
mallar4,hybrid,Mallard x Mexican Duck (hybrid),Anas platyrhynchos x diazi
mallar,slash,Mallard/Mexican Duck,Anas platyrhynchos/diazi
ambduc,species,American Black Duck,Anas rubripes
x00941,hybrid,American Wigeon x American Black Duck (hybrid),Mareca americana x Anas rubripes
x00004,hybrid,Mallard x American Black Duck (hybrid),Anas platyrhynchos x rubripes
y00600,slash,Mallard/American Black Duck,Anas platyrhynchos/rubripes
motduc,species,Mottled Duck,Anas fulvigula
motduc1,group (monotypic),Mottled Duck (Florida),Anas fulvigula fulvigula
motduc2,group (monotypic),Mottled Duck (Gulf Coast),Anas fulvigula maculosa
x00422,hybrid,Mallard x Mottled Duck (hybrid),Anas platyrhynchos x fulvigula
y00632,slash,Mallard/Mottled Duck,Anas platyrhynchos/fulvigula
y01098,hybrid,Mallard x Mexican/Mottled Duck (hybrid),Anas platyrhynchos x diazi/fulvigula
x00922,hybrid,Mexican x Mottled Duck (hybrid),Anas diazi x fulvigula
y01099,slash,Mexican/Mottled Duck,Anas diazi/fulvigula
y00633,slash,American Black/Mottled Duck,Anas rubripes/fulvigula
captea1,species,Cape Teal,Anas capensis
whcpin,species,White-cheeked Pintail,Anas bahamensis
whcpin1,group (polytypic),White-cheeked Pintail (White-cheeked),Anas bahamensis bahamensis/rubrirostris
whcpin2,group (monotypic),White-cheeked Pintail (Galapagos),Anas bahamensis galapagensis
x00778,hybrid,Mallard x White-cheeked Pintail (hybrid),Anas platyrhynchos x bahamensis
rebduc1,species,Red-billed Duck,Anas erythrorhyncha
norpin,species,Northern Pintail,Anas acuta
x00837,hybrid,Baikal Teal x Northern Pintail (hybrid),Sibirionetta formosa x Anas acuta
x00610,hybrid,Gadwall x Northern Pintail (hybrid),Mareca strepera x Anas acuta
x00761,hybrid,Eurasian Wigeon x Northern Pintail (hybrid),Mareca penelope x Anas acuta
x00196,hybrid,American Wigeon x Northern Pintail (hybrid),Mareca americana x Anas acuta
x00628,hybrid,Mallard x Northern Pintail (hybrid),Anas platyrhynchos x acuta
x00674,hybrid,American Black Duck x Northern Pintail (hybrid),Anas rubripes x acuta
eatpin1,species,Eaton's Pintail,Anas eatoni
yebpin1,species,Yellow-billed Pintail,Anas georgica
yebpin2,group (monotypic),Yellow-billed Pintail (South Georgia),Anas georgica georgica
yebpin3,group (polytypic),Yellow-billed Pintail (South American),Anas georgica spinicauda/niceforoi
gnwtea,species,Green-winged Teal,Anas crecca
egwtea1,group (monotypic),Green-winged Teal (Eurasian),Anas crecca crecca
agwtea1,group (monotypic),Green-winged Teal (American),Anas crecca carolinensis
gnwtea1,intergrade,Green-winged Teal (Eurasian x American),Anas crecca crecca x carolinensis
y00766,slash,Garganey/Green-winged Teal,Spatula querquedula/Anas crecca
x00673,hybrid,Blue-winged x Green-winged Teal (hybrid),Spatula discors x Anas crecca
x00763,hybrid,Cinnamon x Green-winged Teal (hybrid),Spatula cyanoptera x Anas crecca
x00762,hybrid,Gadwall x Green-winged Teal (hybrid),Mareca strepera x Anas crecca
x00646,hybrid,American Wigeon x Green-winged Teal (hybrid),Mareca americana x Anas crecca
x00670,hybrid,Mallard x Green-winged Teal (hybrid),Anas platyrhynchos x crecca
x00725,hybrid,Northern Pintail x Green-winged Teal (hybrid),Anas acuta x crecca
spetea3,species,Andean Teal,Anas andium
andtea2,group (monotypic),Andean Teal (Merida),Anas andium altipetens
andtea3,group (monotypic),Andean Teal (Andean),Anas andium andium
yebtea1,species,Yellow-billed Teal,Anas flavirostris
spetea2,group (monotypic),Yellow-billed Teal (flavirostris),Anas flavirostris flavirostris
spetea4,group (monotypic),Yellow-billed Teal (oxyptera),Anas flavirostris oxyptera
spetea1,slash,Andean/Yellow-billed Teal,Anas andium/flavirostris
mauduc1,species,Mauritius Duck,Anas theodori
andtea1,species,Andaman Teal,Anas albogularis
suntea1,species,Sunda Teal,Anas gibberifrons
gretea1,species,Gray Teal,Anas gracilis
x00926,hybrid,Pacific Black Duck x Gray Teal (hybrid),Anas superciliosa x gracilis
chetea1,species,Chestnut Teal,Anas castanea
x00925,hybrid,Pacific Black Duck x Chestnut Teal (hybrid),Anas superciliosa x castanea
x00913,hybrid,Gray x Chestnut Teal (hybrid),Anas gracilis x castanea
bertea1,species,Bernier's Teal,Anas bernieri
auitea1,species,Auckland Islands Teal,Anas aucklandica
caitea1,species,Campbell Islands Teal,Anas nesiotis
brotea1,species,Brown Teal,Anas chlorotis
x00878,hybrid,Mallard x Brown Teal (hybrid),Anas platyrhynchos x chlorotis
anas1,spuh,Anas sp.,Anas sp.
teal,spuh,teal sp.,Anatidae sp. (teal sp.)
dabduc1,spuh,dabbling duck sp.,Anatidae sp. (dabbling duck sp.)
pieduc1,species,Pink-eared Duck,Malacorhynchus membranaceus
martea1,species,Marbled Teal,Marmaronetta angustirostris
pihduc1,species,Pink-headed Duck,Rhodonessa caryophyllacea
whwduc1,species,White-winged Duck,Asarcornis scutulata
recpoc,species,Red-crested Pochard,Netta rufina
x00648,hybrid,Mallard x Red-crested Pochard (hybrid),Anas platyrhynchos x Netta rufina
soupoc1,species,Southern Pochard,Netta erythrophthalma
robpoc1,species,Rosy-billed Pochard,Netta peposaca
canvas,species,Canvasback,Aythya valisineria
redhea,species,Redhead,Aythya americana
x00879,hybrid,Mallard x Redhead (hybrid),Anas platyrhynchos x Aythya americana
x00684,hybrid,Canvasback x Redhead (hybrid),Aythya valisineria x americana
compoc,species,Common Pochard,Aythya ferina
rinduc,species,Ring-necked Duck,Aythya collaris
x00880,hybrid,Canvasback x Ring-necked Duck (hybrid),Aythya valisineria x collaris
x00679,hybrid,Redhead x Ring-necked Duck (hybrid),Aythya americana x collaris
ferduc,species,Ferruginous Duck,Aythya nyroca
x00764,hybrid,Common Pochard x Ferruginous Duck (hybrid),Aythya ferina x nyroca
madpoc1,species,Madagascar Pochard,Aythya innotata
baepoc1,species,Baer's Pochard,Aythya baeri
x00838,hybrid,Ferruginous Duck x Baer's Pochard (hybrid),Aythya nyroca x baeri
y00709,slash,Ferruginous Duck/Baer's Pochard,Aythya nyroca/baeri
wheduc1,species,Hardhead,Aythya australis
x00912,hybrid,Gray Teal x Hardhead (hybrid),Anas gracilis x Aythya australis
tufduc,species,Tufted Duck,Aythya fuligula
x00683,hybrid,Common Pochard x Tufted Duck (hybrid),Aythya ferina x fuligula
x00652,hybrid,Ring-necked x Tufted Duck (hybrid),Aythya collaris x fuligula
x00839,hybrid,Ferruginous x Tufted Duck (hybrid),Aythya nyroca x fuligula
nezsca1,species,New Zealand Scaup,Aythya novaeseelandiae
gresca,species,Greater Scaup,Aythya marila
x00680,hybrid,Redhead x Greater Scaup (hybrid),Aythya americana x marila
x00779,hybrid,Ring-necked Duck x Greater Scaup (hybrid),Aythya collaris x marila
x00654,hybrid,Tufted Duck x Greater Scaup (hybrid),Aythya fuligula x marila
lessca,species,Lesser Scaup,Aythya affinis
x00678,hybrid,Redhead x Lesser Scaup (hybrid),Aythya americana x affinis
x00613,hybrid,Ring-necked Duck x Lesser Scaup (hybrid),Aythya collaris x affinis
x00653,hybrid,Tufted Duck x Lesser Scaup (hybrid),Aythya fuligula x affinis
scaup,slash,Greater/Lesser Scaup,Aythya marila/affinis
x00681,hybrid,Redhead x scaup sp. (hybrid),Aythya americana x marila/affinis
x00682,hybrid,Ring-necked Duck x scaup sp. (hybrid),Aythya collaris x marila/affinis
tdxsca1,hybrid,Tufted Duck x scaup sp. (hybrid),Aythya fuligula x marila/affinis
aythya1,spuh,Aythya sp.,Aythya sp.
steeid,species,Steller's Eider,Polysticta stelleri
speeid,species,Spectacled Eider,Somateria fischeri
kineid,species,King Eider,Somateria spectabilis
