Spcode,Category,English.Name,Scientific.Name
bayfly1,species,Black-and-yellow Silky-flycatcher,Phainoptila melanoxantha
grsfly1,species,Gray Silky-flycatcher,Ptiliogonys cinereus
ltsfly1,species,Long-tailed Silky-flycatcher,Ptiliogonys caudatus
phaino,species,Phainopepla,Phainopepla nitens
palmch1,species,Palmchat,Dulus dominicus
olfwhi1,species,Hylocitrea,Hylocitrea bonensis
hyloci1,group (monotypic),Hylocitrea (Northern),Hylocitrea bonensis bonensis
hyloci2,group (monotypic),Hylocitrea (Southern),Hylocitrea bonensis bonthaina
hypoco1,species,Hypocolius,Hypocolius ampelinus
gursug1,species,Gurney's Sugarbird,Promerops gurneyi
capsug1,species,Cape Sugarbird,Promerops cafer
spothr1,species,Spot-throat,Modulatrix stictigula
dapthr1,species,Dapple-throat,Arcanator orostruthus
gycill1,species,Gray-chested Babbler,Kakamega poliothorax
olbflo1,species,Olive-backed Flowerpecker,Prionochilus olivaceus
yebflo2,species,Yellow-breasted Flowerpecker,Prionochilus maculatus
crbflo1,species,Crimson-breasted Flowerpecker,Prionochilus percussus
palflo1,species,Palawan Flowerpecker,Prionochilus plateni
yerflo1,species,Yellow-rumped Flowerpecker,Prionochilus xanthopygius
scbflo2,species,Scarlet-breasted Flowerpecker,Prionochilus thoracicus
priono1,spuh,Prionochilus sp.,Prionochilus sp.
